Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2013-04-12,-0.0005915203798259,sell,neutral,neutral,-0.0049300403752472,sell,neutral,neutral,0.0038047517420255,buy,neutral,neutral,-0.0005528528568335,sell,neutral,neutral
2013-04-15,-0.0084118150835679,sell,sell,neutral,-0.0186018827168536,sell,sell,sell,-0.0040884756782604,sell,neutral,neutral,-0.0143229721597433,sell,sell,sell
2013-04-16,-0.0194174826239605,sell,sell,sell,-0.0148513475780528,sell,sell,sell,-0.0092358835398485,sell,sell,neutral,-0.0046223373321288,sell,neutral,neutral
2013-04-17,0.0103427460664435,buy,buy,buy,-8.854966780746042e-05,sell,neutral,neutral,0.0056598371370643,buy,buy,neutral,-0.0047231098480823,sell,neutral,neutral
2013-04-18,-0.0162589779387377,sell,sell,sell,-0.0129467282606562,sell,sell,sell,-0.0059963756616798,sell,sell,neutral,-0.0026495718679051,sell,neutral,neutral
2013-04-19,0.0036197845237084,buy,neutral,neutral,0.0267365396095213,buy,buy,buy,0.0002519426823588,buy,neutral,neutral,0.0232911249898994,buy,buy,buy
2013-04-22,0.0241747778584093,buy,buy,buy,0.0244646885751668,buy,buy,buy,0.0011157002942432,buy,neutral,neutral,0.0013990837327968,buy,neutral,neutral
2013-04-23,0.0021584570705444,buy,neutral,neutral,-0.0105054954910802,sell,sell,sell,0.0018748587388166,buy,neutral,neutral,-0.0107855100823384,sell,sell,sell
2013-04-24,-0.0008448976899113,sell,neutral,neutral,0.0044079004035947,buy,neutral,neutral,0.0119426951261193,buy,buy,buy,0.0172627206631017,buy,buy,buy
2013-04-25,0.0104953619669607,buy,buy,buy,0.0151448126288465,buy,buy,buy,0.0052107279963358,buy,buy,neutral,0.0098358632127111,buy,buy,neutral
2013-04-26,0.0117195519906272,buy,buy,buy,0.0111697532010429,buy,buy,buy,0.0070857893174336,buy,buy,neutral,0.006538508653652,buy,buy,neutral
2013-04-29,0.0003395463740092,buy,neutral,neutral,0.0009219350680326,buy,neutral,neutral,0.0008834565038648,buy,neutral,neutral,0.0014661618574778,buy,neutral,neutral
2013-04-30,0.008949055646712,buy,buy,neutral,0.0075053915630508,buy,buy,neutral,0.0083619963544062,buy,buy,neutral,0.0069191722699608,buy,buy,neutral
2013-05-02,-0.003393111872246,sell,neutral,neutral,-0.0044484359707429,sell,neutral,neutral,-0.0019650643580911,sell,neutral,neutral,-0.0030219006405529,sell,neutral,neutral
2013-05-03,0.0052665268490963,buy,buy,neutral,-0.0001044027042107,sell,neutral,neutral,0.0063321491930585,buy,buy,neutral,0.0009555262416456,buy,neutral,neutral
2013-05-06,0.0068358998744997,buy,buy,neutral,0.0045261583768434,buy,neutral,neutral,0.0122441091961443,buy,buy,buy,0.009921960944319,buy,buy,neutral
2013-05-07,-0.0018935324052385,sell,neutral,neutral,0.0034531221259946,buy,neutral,neutral,0.0004014480769102,buy,neutral,neutral,0.0057603963545447,buy,buy,neutral
2013-05-08,0.0127227568739352,buy,buy,buy,0.0139616345790439,buy,buy,buy,0.0073267113611652,buy,buy,neutral,0.0085589880094338,buy,buy,neutral
2013-05-09,0.0059325796870179,buy,buy,neutral,-0.0001924862066975,sell,neutral,neutral,0.0047035120346367,buy,neutral,neutral,-0.0014140701365007,sell,neutral,neutral
2013-05-10,-0.0059986197303623,sell,sell,neutral,-0.0013898873671875,sell,neutral,neutral,9.087636623781436e-05,buy,neutral,neutral,0.0047278429535222,buy,neutral,neutral
2013-05-13,0.0013780821747229,buy,neutral,neutral,-0.009640012526337,sell,sell,neutral,-0.0032434247744958,sell,neutral,neutral,-0.0142106693499792,sell,sell,sell
2013-05-14,-0.0052199103374575,sell,sell,neutral,-0.0135639024791087,sell,sell,sell,0.0058473595172045,buy,buy,neutral,-0.0025894624002498,sell,neutral,neutral
2013-05-15,-0.0021613885794051,sell,neutral,neutral,-0.0034595731227993,sell,neutral,neutral,0.0062790542969802,buy,buy,neutral,0.0049698887669253,buy,neutral,neutral
2013-05-16,0.0015571328339436,buy,neutral,neutral,0.0003649053950386,buy,neutral,neutral,0.0028618525965383,buy,neutral,neutral,0.0016680720533219,buy,neutral,neutral
2013-05-20,0.0103223204523641,buy,buy,buy,0.0165658461834129,buy,buy,buy,0.0115264150643254,buy,buy,buy,0.0177773817828099,buy,buy,buy
2013-05-21,0.0032956475586083,buy,neutral,neutral,0.000755026013097,buy,neutral,neutral,-0.0028663755064978,sell,neutral,neutral,-0.0053913931085441,sell,sell,neutral
2013-05-22,-0.003612653809799,sell,neutral,neutral,-0.0070268742924038,sell,sell,neutral,-0.0010831205138327,sell,neutral,neutral,-0.0045060086942195,sell,neutral,neutral
2013-05-23,-0.0117539478904153,sell,sell,sell,-0.0287639397544379,sell,sell,sell,-0.0083559808904912,sell,sell,neutral,-0.0254244595968335,sell,sell,sell
2013-05-24,-0.0167926655668223,sell,sell,sell,-0.0194237061728905,sell,sell,sell,0.0004269882783274,buy,neutral,neutral,-0.0022501317322594,sell,neutral,neutral
2013-05-27,-0.0047500687230059,sell,neutral,neutral,0.0002950438828257,buy,neutral,neutral,-0.0020796564370262,sell,neutral,neutral,0.0029789930003725,buy,neutral,neutral
2013-05-28,0.0061390495103479,buy,buy,neutral,0.0156222269813765,buy,buy,buy,0.0010644619344658,buy,neutral,neutral,0.0104998098191189,buy,buy,buy
2013-05-29,0.0051364758847509,buy,buy,neutral,-0.0068369955610872,sell,sell,neutral,-0.0042487928994405,sell,neutral,neutral,-0.0161104643554315,sell,sell,sell
2013-05-30,-0.0115802157666748,sell,sell,sell,-0.0150059718428827,sell,sell,sell,0.0003360719022414,buy,neutral,neutral,-0.0031309847383003,sell,neutral,neutral
2013-05-31,0.000888244075379,buy,neutral,neutral,-0.0075501179232522,sell,sell,neutral,0.0043692793768432,buy,neutral,neutral,-0.0040984307894559,sell,neutral,neutral
2013-06-03,-0.012437527384338,sell,sell,sell,-0.0133005934995787,sell,sell,sell,-0.0040407208647418,sell,neutral,neutral,-0.0049111252490887,sell,neutral,neutral
2013-06-04,0.0008438966375501,buy,neutral,neutral,-0.0007246161040981,sell,neutral,neutral,0.0017193349403833,buy,neutral,neutral,0.0001494502204106,buy,neutral,neutral
2013-06-05,-0.008011920795905,sell,sell,neutral,-0.0112569057872807,sell,sell,sell,-0.0064548465730532,sell,sell,neutral,-0.0097049250555599,sell,sell,neutral
2013-06-06,-0.0105331126309758,sell,sell,sell,-0.0136954545634975,sell,sell,sell,-0.0072857522015892,sell,sell,neutral,-0.0104584727169487,sell,sell,sell
