Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2022-01-04,23.52,23.440001,1.0,12.0,140533.6399177891,140640.006,-106.36608221087954,0.7706301698630137,-479.9940000000049
2022-01-05,23.440001,23.040001,0.0,12.0,138132.8824383042,138240.006,-107.12356169580016,0.7574794849315069,-2399.9999999999914
2022-01-06,23.0,23.219999,-1.0,-12.0,136812.1250410768,139319.994,-2507.868958923209,0.7633972273972603,-1319.9940000000083
2022-01-07,23.4,23.639999,1.0,11.0,138131.40710275076,130019.9945,8111.412602750759,0.7124383260273972,1319.9945000000052
2022-01-10,23.620001,23.84,0.0,11.0,139340.68313699734,131120.0,8220.683136997337,0.7184657534246576,1209.9945000000075
2022-01-11,23.82,23.860001,0.0,11.0,139559.96956847404,131230.0055,8329.964068474044,0.7190685232876712,220.00550000000095
2022-01-12,24.120001,24.5,1.0,11.0,141649.22571230965,134750.0,6899.22571230965,0.7383561643835617,2089.9945000000084
2022-01-13,24.639999,24.559999,1.0,11.0,141208.48554795622,135079.9945,6128.491047956224,0.7401643534246575,-439.9999999999906
2022-01-14,24.299999,24.48,0.0,11.0,142197.75329453158,134640.00000000003,7557.753294531547,0.7377534246575345,990.0055000000041
2022-01-17,24.48,24.34,0.0,11.0,141427.019760285,133870.0,7557.019760285009,0.7335342465753425,-770.0000000000032
2022-01-18,24.379999,24.26,1.0,11.0,140766.29413699734,133430.0,7336.294136997341,0.7311232876712329,-659.9944999999998
2022-01-19,24.26,24.219999,1.0,11.0,140545.55871921926,133209.9945,7335.564219219261,0.7299177780821917,-220.00550000000095
2022-01-20,24.360001,25.08,0.0,11.0,144504.79738360282,137940.0,6564.797383602825,0.7558356164383562,3959.994499999988
2022-01-21,25.0,25.059999,0.0,11.0,144834.03665075626,137829.9945,7004.042150756257,0.7552328465753425,329.99450000000684
2022-01-24,24.9,24.799999,0.0,11.0,144283.28375352614,136399.9945,7883.289253526134,0.7473972301369862,-550.005499999994
2022-01-25,24.360001,24.4,-1.0,-11.0,144062.5539110604,134200.0,9862.553911060386,0.7353424657534245,-219.99449999998967
2022-01-26,24.5,24.4,0.0,-11.0,144611.81856859464,134200.0,10411.818568594637,0.7353424657534245,550.0000000000078
2022-01-27,24.26,23.92,0.0,-11.0,146481.0976918823,131560.0,14921.097691882314,0.7208767123287672,1869.9999999999993
2022-01-28,23.98,23.68,0.0,-11.0,148130.3840480467,130240.00000000001,17890.384048046675,0.7136438356164384,1650.0000000000039
2022-01-31,24.0,24.0,0.0,-11.0,148129.66076037547,132000.0,16129.660760375467,0.7232876712328767,-0.0
2022-02-04,24.379999,24.700001,1.0,12.0,150048.86070554805,148200.006,1848.8547055480594,0.8120548273972603,1920.0119999999927
2022-02-07,24.68,24.68,1.0,12.0,150048.04930828777,148079.99999999997,1968.0493082877947,0.8113972602739725,0.0
2022-02-08,24.68,24.48,0.0,12.0,148847.24448636995,146880.0,1967.2444863699493,0.8048219178082191,-1199.9999999999957
2022-02-09,24.860001,24.959999,1.0,12.0,149446.4118836631,149759.994,-313.582116336911,0.8206027068493151,599.9879999999962
2022-02-10,25.16,25.040001,1.0,12.0,148725.5946507535,150240.006,-1514.4113492464821,0.823232909589041,-719.9939999999998
2022-02-11,24.959999,25.02,0.0,12.0,149084.77807541104,150120.0,-1035.2219245889573,0.8225753424657535,360.0059999999985
2022-02-14,24.82,24.68,0.0,12.0,148243.96667815075,148079.99999999997,163.966678150784,0.8113972602739725,-840.0000000000034
2022-02-15,24.6,24.459999,0.0,12.0,147403.15651380006,146759.994,643.1625138000527,0.8041643506849315,-840.0060000000096
2022-02-16,24.719999,24.82,1.0,12.0,148002.34651380006,148920.00000000003,-917.653486199968,0.8160000000000003,600.0059999999934
2022-02-17,24.879999,24.92,0.0,12.0,148241.5332261288,149520.0,-1278.466773871187,0.8192876712328767,240.00600000000105
2022-02-18,24.84,24.48,0.0,12.0,146080.728404211,146880.0,-799.2715957890032,0.8048219178082191,-2159.9999999999964
2022-02-21,24.24,24.34,-1.0,-12.0,145479.9281850329,146040.0,-560.0718149670865,0.8002191780821918,-600.0000000000085
2022-02-22,23.9,23.620001,-1.0,-12.0,147159.14563705484,141720.006,5439.139637054846,0.7765479780821917,1679.9940000000006
2022-02-23,23.700001,23.799999,0.0,-12.0,146558.3751713343,142799.994,3758.381171334302,0.7824657205479452,-599.9879999999962
2022-02-24,23.34,23.059999,-1.0,-12.0,148237.62303438087,138359.994,9877.629034380865,0.7581369534246576,1680.0059999999917
2022-02-25,23.08,22.92,0.0,-12.0,149196.86950013426,137520.0,11676.869500134257,0.7535342465753425,959.9999999999795
2022-02-28,22.9,22.879999,0.0,-12.0,149316.12328098904,137279.994,12036.12928098903,0.7522191452054795,120.0059999999823
2022-03-01,22.879999,22.879999,0.0,-12.0,149315.37106184382,137279.994,12035.377061843814,0.7522191452054795,-0.0
