,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2021-05-31,29.42,29.4,0.0,4.0,69197.76381234839,58800.0,10397.763812348392,0.12887671232876713,-40.00000000000625
2021-06-01,29.4,29.780001,0.0,4.0,69957.63526987824,59560.002,10397.633269878243,0.1305424701369863,760.0020000000001
2021-06-02,29.76,29.58,0.0,4.0,69597.50560412482,59160.0,10437.505604124817,0.12966575342465755,-360.00000000000654
2021-06-03,29.58,29.26,0.0,4.0,68957.37734111112,58520.0,10437.377341111118,0.12826301369863014,-639.9999999999934
2021-06-04,29.139999,29.24,-1.0,-4.0,68757.24716576865,58480.0,10277.247165768655,0.12817534246575343,-200.0019999999978
2021-06-07,29.299999,29.139999,0.0,-4.0,69077.11942878674,58279.998,10797.12142878674,0.12773698191780825,320.0000000000003
2021-06-08,29.219999,29.120001,0.0,-4.0,69276.9877794673,58240.002,11036.985779467293,0.1276493194520548,199.99600000000584
2021-06-09,29.139999,29.1,0.0,-4.0,69356.85821782345,58200.0,11156.85821782345,0.12756164383561644,79.99799999999624
2021-06-10,29.1,29.08,0.0,-4.0,69396.73074385084,58160.0,11236.730743850843,0.1274739726027397,40.00000000000625
2021-06-11,29.16,29.200001,0.0,-4.0,69316.60074384647,58400.002,10916.598743846473,0.12800000438356166,-80.00200000000035
2021-06-15,29.26,29.0,0.0,-4.0,69836.4736205588,58000.0,11836.473620558798,0.1271232876712329,520.0000000000032
2021-06-16,29.0,28.799999,-1.0,-4.0,70236.34937398785,57599.998,12636.351373987847,0.12624657095890413,400.00200000000063
2021-06-17,28.66,28.879999,0.0,-4.0,69796.22477673195,57759.998,12036.22677673195,0.12659725589041096,-439.9980000000028
2021-06-18,28.9,29.16,0.0,-4.0,69276.09695207441,58320.0,10956.096952074411,0.12782465753424657,-520.0000000000032
2021-06-21,28.92,28.860001,1.0,4.0,69155.97244248098,57720.002,11435.970442480982,0.12650959342465753,-119.99800000000249
2021-06-22,28.940001,28.66,-1.0,-4.0,69715.84880960426,57320.0,12395.848809604257,0.12563287671232878,560.0019999999972
2021-06-23,28.799999,29.219999,0.0,-4.0,68875.72072193741,58439.998,10435.72272193741,0.12808766684931508,-840.0000000000034
